"","word","sentiment","lexicon","score"
"171","ardent",NA,"AFINN",1
"172","arrest",NA,"AFINN",-2
"173","arrested",NA,"AFINN",-3
"174","arrests",NA,"AFINN",-2
"175","arrogant",NA,"AFINN",-2
"176","ashame",NA,"AFINN",-2
"177","ashamed",NA,"AFINN",-2
"178","ass",NA,"AFINN",-4
"179","assassination",NA,"AFINN",-3
"180","assassinations",NA,"AFINN",-3
"181","asset",NA,"AFINN",2
"182","assets",NA,"AFINN",2
"183","assfucking",NA,"AFINN",-4
"184","asshole",NA,"AFINN",-4
"185","astonished",NA,"AFINN",2
"186","astound",NA,"AFINN",3
"187","astounded",NA,"AFINN",3
"188","astounding",NA,"AFINN",3
"189","astoundingly",NA,"AFINN",3
"190","astounds",NA,"AFINN",3
"191","attack",NA,"AFINN",-1
"192","attacked",NA,"AFINN",-1
"193","attacking",NA,"AFINN",-1
"194","attacks",NA,"AFINN",-1
"195","attract",NA,"AFINN",1
"196","attracted",NA,"AFINN",1
"197","attracting",NA,"AFINN",2
"198","attraction",NA,"AFINN",2
"199","attractions",NA,"AFINN",2
"200","attracts",NA,"AFINN",1
"201","audacious",NA,"AFINN",3
"202","authority",NA,"AFINN",1
"203","avert",NA,"AFINN",-1
"204","averted",NA,"AFINN",-1
"205","averts",NA,"AFINN",-1
"206","avid",NA,"AFINN",2
"207","avoid",NA,"AFINN",-1
"208","avoided",NA,"AFINN",-1
"209","avoids",NA,"AFINN",-1
"210","await",NA,"AFINN",-1
"211","awaited",NA,"AFINN",-1
"212","awaits",NA,"AFINN",-1
"213","award",NA,"AFINN",3
"214","awarded",NA,"AFINN",3
"215","awards",NA,"AFINN",3
"216","awesome",NA,"AFINN",4
"217","awful",NA,"AFINN",-3
"218","awkward",NA,"AFINN",-2
"219","axe",NA,"AFINN",-1
"220","axed",NA,"AFINN",-1
"221","backed",NA,"AFINN",1
"222","backing",NA,"AFINN",2
"223","backs",NA,"AFINN",1
"224","bad",NA,"AFINN",-3
"225","badass",NA,"AFINN",-3
"226","badly",NA,"AFINN",-3
"227","bailout",NA,"AFINN",-2
"228","bamboozle",NA,"AFINN",-2
"229","bamboozled",NA,"AFINN",-2
"230","bamboozles",NA,"AFINN",-2
"231","ban",NA,"AFINN",-2
"232","banish",NA,"AFINN",-1
"233","bankrupt",NA,"AFINN",-3
"234","bankster",NA,"AFINN",-3
"235","banned",NA,"AFINN",-2
"236","bargain",NA,"AFINN",2
"237","barrier",NA,"AFINN",-2
"238","bastard",NA,"AFINN",-5
"239","bastards",NA,"AFINN",-5
"240","battle",NA,"AFINN",-1
"241","battles",NA,"AFINN",-1
"242","beaten",NA,"AFINN",-2
"243","beatific",NA,"AFINN",3
"244","beating",NA,"AFINN",-1
"245","beauties",NA,"AFINN",3
"246","beautiful",NA,"AFINN",3
"247","beautifully",NA,"AFINN",3
"248","beautify",NA,"AFINN",3
"249","belittle",NA,"AFINN",-2
"250","belittled",NA,"AFINN",-2
"251","beloved",NA,"AFINN",3
"252","benefit",NA,"AFINN",2
"253","benefits",NA,"AFINN",2
"254","benefitted",NA,"AFINN",2
"255","benefitting",NA,"AFINN",2
"256","bereave",NA,"AFINN",-2
"257","bereaved",NA,"AFINN",-2
"258","bereaves",NA,"AFINN",-2
"259","bereaving",NA,"AFINN",-2
"260","best",NA,"AFINN",3
"261","betray",NA,"AFINN",-3
"262","betrayal",NA,"AFINN",-3
"263","betrayed",NA,"AFINN",-3
"264","betraying",NA,"AFINN",-3
"265","betrays",NA,"AFINN",-3
"266","better",NA,"AFINN",2
"267","bias",NA,"AFINN",-1
"268","biased",NA,"AFINN",-2
"269","big",NA,"AFINN",1
"270","bitch",NA,"AFINN",-5
"271","bitches",NA,"AFINN",-5
"272","bitter",NA,"AFINN",-2
"273","bitterly",NA,"AFINN",-2
"274","bizarre",NA,"AFINN",-2
"275","blah",NA,"AFINN",-2
"276","blame",NA,"AFINN",-2
"277","blamed",NA,"AFINN",-2
"278","blames",NA,"AFINN",-2
"279","blaming",NA,"AFINN",-2
"280","bless",NA,"AFINN",2
"281","blesses",NA,"AFINN",2
"282","blessing",NA,"AFINN",3
"283","blind",NA,"AFINN",-1
"284","bliss",NA,"AFINN",3
"285","blissful",NA,"AFINN",3
"286","blithe",NA,"AFINN",2
"287","block",NA,"AFINN",-1
"288","blockbuster",NA,"AFINN",3
"289","blocked",NA,"AFINN",-1
"290","blocking",NA,"AFINN",-1
"291","blocks",NA,"AFINN",-1
"292","bloody",NA,"AFINN",-3
"293","blurry",NA,"AFINN",-2
"294","boastful",NA,"AFINN",-2
"295","bold",NA,"AFINN",2
"296","boldly",NA,"AFINN",2
"297","bomb",NA,"AFINN",-1
"298","boost",NA,"AFINN",1
"299","boosted",NA,"AFINN",1
"300","boosting",NA,"AFINN",1
"301","boosts",NA,"AFINN",1
"302","bore",NA,"AFINN",-2
"303","bored",NA,"AFINN",-2
"304","boring",NA,"AFINN",-3
"305","bother",NA,"AFINN",-2
"306","bothered",NA,"AFINN",-2
"307","bothers",NA,"AFINN",-2
"308","bothersome",NA,"AFINN",-2
"309","boycott",NA,"AFINN",-2
"310","boycotted",NA,"AFINN",-2
"311","boycotting",NA,"AFINN",-2
"312","boycotts",NA,"AFINN",-2
"313","brainwashing",NA,"AFINN",-3
"314","brave",NA,"AFINN",2
"315","breakthrough",NA,"AFINN",3
"316","breathtaking",NA,"AFINN",5
"317","bribe",NA,"AFINN",-3
"318","bright",NA,"AFINN",1
"319","brightest",NA,"AFINN",2
"320","brightness",NA,"AFINN",1
"321","brilliant",NA,"AFINN",4
"322","brisk",NA,"AFINN",2
"323","broke",NA,"AFINN",-1
"324","broken",NA,"AFINN",-1
"325","brooding",NA,"AFINN",-2
"326","bullied",NA,"AFINN",-2
"327","bullshit",NA,"AFINN",-4
"328","bully",NA,"AFINN",-2
"329","bullying",NA,"AFINN",-2
"330","bummer",NA,"AFINN",-2
"331","buoyant",NA,"AFINN",2
"332","burden",NA,"AFINN",-2
"333","burdened",NA,"AFINN",-2
"334","burdening",NA,"AFINN",-2
"335","burdens",NA,"AFINN",-2
"336","calm",NA,"AFINN",2
"337","calmed",NA,"AFINN",2
"338","calming",NA,"AFINN",2
"339","calms",NA,"AFINN",2
"340","can't stand",NA,"AFINN",-3
"341","cancel",NA,"AFINN",-1
"342","cancelled",NA,"AFINN",-1
"343","cancelling",NA,"AFINN",-1
"344","cancels",NA,"AFINN",-1
"345","cancer",NA,"AFINN",-1
"346","capable",NA,"AFINN",1
"347","captivated",NA,"AFINN",3
"348","care",NA,"AFINN",2
"349","carefree",NA,"AFINN",1
"350","careful",NA,"AFINN",2
"351","carefully",NA,"AFINN",2
"352","careless",NA,"AFINN",-2
"353","cares",NA,"AFINN",2
"354","cashing in",NA,"AFINN",-2
"355","casualty",NA,"AFINN",-2
"356","catastrophe",NA,"AFINN",-3
"357","catastrophic",NA,"AFINN",-4
"358","cautious",NA,"AFINN",-1
"359","celebrate",NA,"AFINN",3
"360","celebrated",NA,"AFINN",3
"361","celebrates",NA,"AFINN",3
"362","celebrating",NA,"AFINN",3
"363","censor",NA,"AFINN",-2
"364","censored",NA,"AFINN",-2
"365","censors",NA,"AFINN",-2
"366","certain",NA,"AFINN",1
"367","chagrin",NA,"AFINN",-2
"368","chagrined",NA,"AFINN",-2
"369","challenge",NA,"AFINN",-1
"370","chance",NA,"AFINN",2
"371","chances",NA,"AFINN",2
"372","chaos",NA,"AFINN",-2
"373","chaotic",NA,"AFINN",-2
"374","charged",NA,"AFINN",-3
"375","charges",NA,"AFINN",-2
"376","charm",NA,"AFINN",3
"377","charming",NA,"AFINN",3
"378","charmless",NA,"AFINN",-3
"379","chastise",NA,"AFINN",-3
"380","chastised",NA,"AFINN",-3
"381","chastises",NA,"AFINN",-3
"382","chastising",NA,"AFINN",-3
"383","cheat",NA,"AFINN",-3
"384","cheated",NA,"AFINN",-3
"385","cheater",NA,"AFINN",-3
"386","cheaters",NA,"AFINN",-3
"387","cheats",NA,"AFINN",-3
"388","cheer",NA,"AFINN",2
"389","cheered",NA,"AFINN",2
"390","cheerful",NA,"AFINN",2
"391","cheering",NA,"AFINN",2
"392","cheerless",NA,"AFINN",-2
"393","cheers",NA,"AFINN",2
"394","cheery",NA,"AFINN",3
"395","cherish",NA,"AFINN",2
"396","cherished",NA,"AFINN",2
"397","cherishes",NA,"AFINN",2
"398","cherishing",NA,"AFINN",2
"399","chic",NA,"AFINN",2
"400","childish",NA,"AFINN",-2
"401","chilling",NA,"AFINN",-1
"402","choke",NA,"AFINN",-2
